HOME/AWAY,Opponent,勝敗,ka-f_得点,ka-f_失点,ka-f_ゴール期待値,Opponent_ゴール期待値,ka-f_シュート,Opponent_シュート,ka-f_枠内シュート,Opponent_枠内シュート,ka-f_PKによるシュート,Opponent_PKによるシュート,ka-f_パス,Opponent_パス,ka-f_クロス,Opponent_クロス,ka-f_直接ＦＫ,Opponent_直接ＦＫ,ka-f_間接ＦＫ,Opponent_間接ＦＫ,ka-f_ＣＫ,Opponent_ＣＫ,ka-f_スローイン,Opponent_スローイン,ka-f_ドリブル,Opponent_ドリブル,ka-f_タックル,Opponent_タックル,ka-f_クリア,Opponent_クリア,ka-f_インターセプト,Opponent_インターセプト,ka-f_オフサイド,Opponent_オフサイド,ka-f_警告,Opponent_警告,ka-f_退場,Opponent_退場,ka-f_３０ｍライン進入,Opponent_３０ｍライン進入,ka-f_ペナルティエリア進入,Opponent_ペナルティエリア進入,ka-f_総移動距離,Opponent_総移動距離,ka-f_スプリント,Opponent_スプリント,ka-f_攻撃回数,Opponent_攻撃回数,ka-f_チャンス構築率,Opponent_チャンス構築率,ka-f_ボール保持率,Opponent_ボール保持率,URL
H,FC東京,D,0,0,1.365,0.679,16,6,8,1,0,0,736,388,16,10,8,13,2,0,8,5,20,22,17,13,25,28,24,26,2,1,0,2,3,2,0,0,67,29,21,8,"104,323m","109,799m",160,179,113,113,14.2%,5.3%,62%,38%,https://www.football-lab.jp/ka-f/report/?year=2019&month=02&date=23
H,鹿島,D,1,1,2.473,0.671,20,8,6,1,0,0,852,316,23,5,9,9,1,1,7,0,24,10,14,9,15,25,17,23,4,5,1,1,1,2,0,0,91,29,20,11,"110,671m","113,909m",193,163,111,107,18.0%,7.5%,65.3%,34.7%,https://www.football-lab.jp/ka-f/report/?year=2019&month=03&date=01
A,横浜FM,D,2,2,1.61,1.517,16,14,7,4,0,0,435,460,12,23,16,20,1,4,7,7,21,25,13,15,29,27,33,23,3,1,4,1,1,4,0,0,38,51,11,13,"109,810m","115,585m",193,183,128,138,12.5%,10.1%,46.6%,53.4%,https://www.football-lab.jp/ka-f/report/?year=2019&month=03&date=10
H,Ｇ大阪,L,0,1,1.374,1.013,19,9,4,5,0,0,602,470,17,10,16,12,3,2,7,6,37,14,20,14,27,35,23,27,2,3,2,3,1,1,0,0,53,31,12,9,"109,061m","114,036m",157,181,134,122,14.2%,7.4%,54.1%,45.9%,https://www.football-lab.jp/ka-f/report/?year=2019&month=03&date=17
A,松本,W,2,0,1.979,0.199,17,4,4,0,0,0,705,277,13,12,17,12,2,2,5,1,26,29,15,14,24,30,15,22,3,3,2,2,0,3,0,0,68,16,23,3,"106,518m","110,887m",159,154,141,135,12.1%,3.0%,66.8%,33.2%,https://www.football-lab.jp/ka-f/report/?year=2019&month=03&date=31
H,Ｃ大阪,D,1,1,1.193,0.424,13,6,5,2,0,0,711,439,20,13,11,10,0,0,11,6,23,14,15,7,20,22,17,34,3,2,0,0,0,1,0,0,61,31,20,13,"112,543m","115,849m",165,157,124,119,10.5%,5.0%,55.7%,44.3%,https://www.football-lab.jp/ka-f/report/?year=2019&month=04&date=05
A,鳥栖,W,1,0,0.649,0.84,9,9,4,2,0,0,641,404,11,18,12,14,1,3,5,4,13,32,8,18,20,20,27,20,3,2,2,1,3,2,0,0,45,34,12,7,"110,956m","117,231m",157,170,111,128,8.1%,7.0%,56.3%,43.7%,https://www.football-lab.jp/ka-f/report/?year=2019&month=04&date=14
H,湘南,W,2,0,1.217,0.314,12,9,3,2,0,0,724,570,8,12,7,7,1,1,6,8,22,16,6,8,19,21,23,14,5,5,1,1,0,1,0,0,68,44,12,2,"115,168m","123,064m",167,150,105,103,11.4%,8.7%,52.6%,47.4%,https://www.football-lab.jp/ka-f/report/?year=2019&month=04&date=19
A,神戸,W,2,1,1.596,1.223,13,13,7,2,0,0,393,609,11,15,12,15,1,2,5,3,19,24,17,18,27,29,27,18,5,4,2,1,0,1,0,0,34,55,11,13,"109,842m","106,700m",123,139,129,129,10.1%,10.1%,38.7%,61.3%,https://www.football-lab.jp/ka-f/report/?year=2019&month=04&date=28
H,仙台,W,3,1,3.151,0.969,14,9,5,5,1,0,786,390,22,14,10,10,3,0,3,4,15,13,20,7,15,21,15,18,3,0,0,3,0,1,0,0,82,26,30,10,"110,817m","109,863m",175,148,114,107,12.3%,8.4%,60.9%,39.1%,https://www.football-lab.jp/ka-f/report/?year=2019&month=05&date=03
A,清水,W,4,0,1.022,0.451,15,9,5,2,0,0,596,492,12,14,5,4,3,1,5,2,17,16,16,17,24,27,28,19,0,4,1,2,0,1,0,0,55,50,16,6,"112,172m","110,626m",163,136,125,118,12.0%,7.6%,50.2%,49.8%,https://www.football-lab.jp/ka-f/report/?year=2019&month=05&date=12
H,名古屋,D,1,1,1.117,0.86,11,9,3,3,0,0,485,599,7,16,13,9,2,4,4,3,11,19,13,19,20,21,17,24,5,5,4,2,0,2,0,0,35,70,6,18,"110,856m","112,815m",155,158,120,120,9.2%,7.5%,45.9%,54.1%,https://www.football-lab.jp/ka-f/report/?year=2019&month=05&date=17
A,大分,W,1,0,0.87,0.158,10,4,2,1,0,0,673,572,6,12,10,7,1,2,3,4,21,19,3,4,18,14,19,13,3,3,2,1,0,1,0,0,55,40,14,12,"113,852m","115,834m",156,149,98,98,10.2%,4.1%,50.4%,49.6%,https://www.football-lab.jp/ka-f/report/?year=2019&month=05&date=26
H,浦和,D,1,1,2.539,0.621,17,8,5,3,0,0,697,399,14,9,16,8,2,0,6,4,17,18,12,8,19,33,24,22,1,1,0,2,1,1,0,0,61,27,13,7,"104,104m","107,971m",159,158,113,107,15.0%,7.5%,61%,39%,https://www.football-lab.jp/ka-f/report/?year=2019&month=06&date=01
H,札幌,D,1,1,3.583,1.184,26,4,9,2,1,1,662,383,27,10,14,14,1,0,7,1,22,14,18,6,22,24,16,36,2,5,0,1,3,2,0,0,76,24,27,7,"112,807m","118,820m",165,162,116,113,22.4%,3.5%,58.6%,41.4%,https://www.football-lab.jp/ka-f/report/?year=2019&month=06&date=14
A,磐田,W,3,1,0.555,1.958,7,16,4,6,0,0,618,414,8,9,15,12,1,3,2,3,19,27,12,20,15,20,33,12,1,2,3,1,2,1,0,0,64,48,9,7,"103,645m","106,629m",128,139,109,120,6.4%,13.3%,56.4%,43.6%,https://www.football-lab.jp/ka-f/report/?year=2019&month=06&date=30
H,鳥栖,D,0,0,0.977,1.303,12,8,6,0,0,0,600,372,19,16,14,9,2,2,6,7,16,17,15,14,13,10,28,25,3,0,2,2,0,2,0,0,55,24,15,3,"101,304m","105,900m",101,92,94,93,12.8%,8.6%,53.8%,46.2%,https://www.football-lab.jp/ka-f/report/?year=2019&month=07&date=07
A,FC東京,W,3,0,1.301,0.99,16,10,9,1,0,0,653,450,8,15,10,9,2,0,4,5,15,20,3,7,19,14,24,13,0,4,0,2,2,0,0,0,61,31,12,6,"105,732m","105,495m",146,126,112,122,14.3%,8.2%,53.4%,46.6%,https://www.football-lab.jp/ka-f/report/?year=2019&month=07&date=14
H,大分,W,3,1,2.008,0.689,20,7,10,3,0,0,571,651,6,24,8,4,4,0,4,2,19,10,6,7,11,16,23,15,2,2,0,4,0,1,0,0,42,38,12,9,"112,695m","112,466m",134,146,87,84,23.0%,8.3%,43.2%,56.8%,https://www.football-lab.jp/ka-f/report/?year=2019&month=07&date=27
A,広島,L,2,3,1.182,1.456,11,7,3,4,0,0,763,510,27,6,7,13,3,2,5,2,23,15,8,15,28,17,10,33,1,4,2,3,1,1,0,0,77,43,10,4,"110,785m","110,835m",116,101,107,92,10.3%,7.6%,55.9%,44.1%,https://www.football-lab.jp/ka-f/report/?year=2019&month=07&date=31
H,松本,D,0,0,1.155,0.511,14,9,1,2,0,0,868,318,19,12,8,8,0,1,1,4,18,7,11,9,16,24,7,16,0,3,1,0,0,1,0,0,79,20,21,6,"102,523m","112,958m",99,110,99,93,14.1%,9.7%,68.1%,31.9%,https://www.football-lab.jp/ka-f/report/?year=2019&month=08&date=04
A,名古屋,L,0,3,1.101,1.432,11,11,6,3,0,0,636,499,11,8,9,11,5,4,5,4,15,22,10,11,23,23,18,19,2,2,4,4,3,0,1,0,47,41,12,9,"103,502m","106,668m",102,141,105,109,10.5%,10.1%,53%,47%,https://www.football-lab.jp/ka-f/report/?year=2019&month=08&date=10
A,仙台,D,2,2,1.832,1.395,13,9,3,3,0,0,738,263,17,8,12,9,2,1,7,6,20,11,7,6,23,14,10,26,0,2,1,2,2,1,0,0,65,21,20,7,"104,532m","103,559m",104,98,100,90,13.0%,10.0%,66.7%,33.3%,https://www.football-lab.jp/ka-f/report/?year=2019&month=08&date=17
H,清水,D,2,2,1.977,1.132,21,7,8,4,0,0,774,284,29,5,7,11,0,1,11,1,22,14,8,6,11,9,11,42,3,3,1,0,1,0,0,0,76,23,24,6,"104,012m","106,439m",130,125,103,93,20.4%,7.5%,64.6%,35.4%,https://www.football-lab.jp/ka-f/report/?year=2019&month=08&date=24
A,Ｃ大阪,L,1,2,1.918,1.071,14,10,3,6,0,0,651,319,24,14,13,9,3,3,6,7,31,16,7,5,22,18,25,39,1,0,3,3,2,2,0,0,66,30,16,8,"109,750m","113,373m",115,111,120,103,11.7%,9.7%,60.3%,39.7%,https://www.football-lab.jp/ka-f/report/?year=2019&month=09&date=01
H,磐田,W,2,0,1.243,0.455,15,10,6,2,0,0,516,572,10,11,14,8,0,2,4,4,16,27,9,12,24,25,25,17,2,3,2,0,1,2,0,0,39,42,9,8,"112,812m","109,835m",145,142,111,117,13.5%,8.5%,45.8%,54.2%,https://www.football-lab.jp/ka-f/report/?year=2019&month=09&date=14
H,神戸,L,1,2,1.154,0.486,17,4,5,2,0,0,622,606,13,9,14,9,2,2,3,3,20,16,10,5,6,24,20,22,6,6,1,2,0,2,0,0,47,41,15,9,"107,570m","106,994m",143,151,111,111,15.3%,3.6%,45.4%,54.6%,https://www.football-lab.jp/ka-f/report/?year=2019&month=09&date=28
A,湘南,W,5,0,2.035,0.803,19,6,8,2,0,0,724,427,13,10,13,10,0,1,5,4,18,24,8,14,24,21,23,22,3,6,1,0,0,2,0,0,55,41,20,7,"109,004m","112,729m",135,133,116,118,16.4%,5.1%,57.5%,42.5%,https://www.football-lab.jp/ka-f/report/?year=2019&month=10&date=06
A,Ｇ大阪,D,2,2,2.263,1.632,13,15,3,5,0,0,857,556,7,11,5,12,1,0,1,2,11,7,11,9,19,28,6,27,1,2,0,2,2,1,0,0,71,49,12,9,"107,003m","115,264m",108,142,93,91,14.0%,16.5%,58%,42%,https://www.football-lab.jp/ka-f/report/?year=2019&month=10&date=19
H,広島,W,2,1,0.357,2.573,10,17,5,4,0,0,380,692,3,22,13,14,3,4,1,8,14,18,8,8,26,20,43,12,5,2,3,3,1,2,0,0,29,55,6,19,"113,788m","113,506m",158,171,112,128,8.9%,13.3%,39.8%,60.2%,https://www.football-lab.jp/ka-f/report/?year=2019&month=11&date=02
A,浦和,W,2,0,0.983,1.514,13,10,5,3,0,0,644,554,13,20,8,12,1,3,3,3,18,14,6,10,20,17,19,23,1,4,3,1,1,0,0,0,55,38,13,7,"111,337m","115,927m",155,174,108,108,12.0%,9.3%,53.9%,46.1%,https://www.football-lab.jp/ka-f/report/?year=2019&month=11&date=05
A,鹿島,W,2,0,1.726,1.906,8,15,3,2,0,0,453,461,7,23,12,15,2,1,3,6,20,30,4,14,31,24,36,17,0,3,1,2,3,2,0,0,42,53,5,8,"107,515m","107,505m",135,135,112,129,7.1%,11.6%,49.1%,50.9%,https://www.football-lab.jp/ka-f/report/?year=2019&month=11&date=09
H,横浜FM,L,1,4,1.441,3.012,14,14,5,7,0,0,474,454,14,10,10,16,1,8,6,4,19,23,8,12,30,11,14,26,4,3,8,1,1,1,0,0,61,32,17,14,"109,613m","116,338m",169,204,123,131,11.4%,10.7%,50%,50%,https://www.football-lab.jp/ka-f/report/?year=2019&month=11&date=30
A,札幌,W,2,1,2.157,1.37,18,12,8,3,0,0,458,582,6,20,11,16,2,1,7,5,6,20,6,20,22,19,27,14,3,1,1,2,1,1,0,0,43,49,14,14,"106,785m","109,903m",163,152,113,122,15.9%,9.8%,43.5%,56.5%,https://www.football-lab.jp/ka-f/report/?year=2019&month=12&date=07
