HOME/AWAY,Opponent,勝敗,nago_得点,nago_失点,Opponent_ゴール期待値,nago_ゴール期待値,Opponent_シュート,nago_シュート,Opponent_枠内シュート,nago_枠内シュート,Opponent_PKによるシュート,nago_PKによるシュート,Opponent_パス,nago_パス,Opponent_クロス,nago_クロス,Opponent_直接ＦＫ,nago_直接ＦＫ,Opponent_間接ＦＫ,nago_間接ＦＫ,Opponent_ＣＫ,nago_ＣＫ,Opponent_スローイン,nago_スローイン,Opponent_ドリブル,nago_ドリブル,Opponent_タックル,nago_タックル,Opponent_クリア,nago_クリア,Opponent_インターセプト,nago_インターセプト,Opponent_オフサイド,nago_オフサイド,Opponent_警告,nago_警告,Opponent_退場,nago_退場,Opponent_３０ｍライン進入,nago_３０ｍライン進入,Opponent_ペナルティエリア進入,nago_ペナルティエリア進入,Opponent_総移動距離,nago_総移動距離,Opponent_スプリント,nago_スプリント,Opponent_攻撃回数,nago_攻撃回数,Opponent_チャンス構築率,nago_チャンス構築率,Opponent_ボール保持率,nago_ボール保持率,URL
A,福岡,W,2,1,0.387,1.058,4,10,0,6,0,0,389,406,16,8,10,18,3,1,6,4,25,20,3,9,21,16,14,33,2,1,1,2,3,2,0,0,27,33,9,12,"106,212m","108,906m",186,171,123,124,3.3%,8.1%,50.5%,49.5%,https://www.football-lab.jp/nago/report/?year=2021&month=02&date=28
H,札幌,W,1,0,0.747,1.289,8,11,5,4,0,0,512,402,8,7,10,17,1,0,11,3,25,31,17,15,21,22,17,32,1,2,0,1,1,1,0,0,37,19,8,6,"113,146m","114,190m",163,188,122,119,6.6%,9.2%,54.3%,45.7%,https://www.football-lab.jp/nago/report/?year=2021&month=03&date=06
A,柏,W,1,0,0.889,1.168,10,10,3,2,0,0,479,418,8,12,9,9,3,2,3,5,29,31,15,14,20,31,32,29,2,4,2,3,0,1,0,0,38,26,8,8,"116,041m","119,746m",191,201,148,147,6.8%,6.8%,50.3%,49.7%,https://www.football-lab.jp/nago/report/?year=2021&month=03&date=10
A,神戸,W,1,0,0.894,0.443,10,7,2,3,0,0,717,376,12,4,8,13,0,0,2,3,24,22,9,5,15,18,16,26,2,6,0,0,1,0,0,0,39,12,9,4,"117,643m","116,784m",171,157,107,119,9.3%,5.9%,63.8%,36.2%,https://www.football-lab.jp/nago/report/?year=2021&month=03&date=13
H,横浜FC,W,3,0,0.226,1.933,6,12,2,7,0,0,469,620,12,12,9,13,2,1,2,6,21,12,12,16,24,16,21,16,3,4,1,2,2,0,0,0,42,35,8,9,"114,109m","114,827m",146,189,103,102,5.8%,11.8%,44.7%,55.3%,https://www.football-lab.jp/nago/report/?year=2021&month=03&date=17
A,鹿島,W,1,0,0.536,0.651,8,6,1,2,0,0,477,271,12,8,11,23,1,1,5,2,37,28,9,5,12,19,16,28,0,6,1,1,6,1,1,0,34,17,9,9,"110,411m","112,171m",165,169,129,127,6.2%,4.7%,60.6%,39.4%,https://www.football-lab.jp/nago/report/?year=2021&month=03&date=21
H,FC東京,D,0,0,0.574,0.244,9,8,3,1,0,0,461,609,13,12,10,7,1,1,6,2,16,30,13,10,19,22,18,20,4,0,1,1,1,2,0,0,41,40,7,8,"111,474m","112,571m",180,179,131,126,6.9%,6.3%,43.1%,56.9%,https://www.football-lab.jp/nago/report/?year=2021&month=04&date=03
A,湘南,D,0,0,0.23,1.149,3,15,0,7,0,0,238,648,2,30,12,11,3,1,1,9,18,28,8,25,25,12,30,14,0,2,1,3,4,2,1,0,19,79,3,19,"114,874m","119,567m",153,153,104,116,2.9%,12.9%,38%,62%,https://www.football-lab.jp/nago/report/?year=2021&month=04&date=07
A,大分,W,3,0,0.435,0.988,9,6,2,3,0,0,679,471,16,8,3,13,0,1,7,3,16,24,4,9,16,15,19,16,0,2,1,0,1,0,0,0,43,28,9,9,"119,873m","121,434m",172,181,96,106,9.4%,5.7%,55.3%,44.7%,https://www.football-lab.jp/nago/report/?year=2021&month=04&date=11
H,広島,W,1,0,0.903,0.438,12,5,2,2,0,0,608,405,7,5,16,11,0,3,3,4,30,24,10,14,25,22,17,24,4,3,3,0,2,2,0,0,46,22,5,4,"115,873m","118,728m",181,165,138,134,8.7%,3.7%,56%,44%,https://www.football-lab.jp/nago/report/?year=2021&month=04&date=14
H,鳥栖,L,1,2,0.581,0.811,9,10,2,2,0,0,356,714,3,12,5,12,3,3,1,5,21,26,6,17,20,9,36,14,4,3,3,3,2,1,0,0,17,50,3,10,"131,528m","125,301m",186,179,130,139,6.9%,7.2%,39%,61%,https://www.football-lab.jp/nago/report/?year=2021&month=04&date=18
H,Ｇ大阪,W,2,0,1.01,1.048,12,11,0,5,0,0,646,377,16,6,8,13,0,0,4,5,22,10,10,11,16,11,14,34,2,0,0,0,2,1,0,0,51,32,9,10,"116,123m","121,511m",181,190,105,105,11.4%,10.5%,60.6%,39.4%,https://www.football-lab.jp/nago/report/?year=2021&month=04&date=22
H,川崎Ｆ,L,0,4,2.23,0.753,15,8,9,2,0,0,589,561,7,11,8,11,0,2,6,6,18,26,7,15,25,12,21,25,1,2,2,0,1,0,0,0,53,42,18,6,"114,016m","117,102m",170,177,109,116,13.8%,6.9%,48.2%,51.8%,https://www.football-lab.jp/nago/report/?year=2021&month=04&date=29
A,川崎Ｆ,L,2,3,0.837,0.65,9,9,2,3,0,0,428,561,11,18,12,14,0,2,7,2,11,39,6,12,23,27,19,11,4,0,2,0,0,0,0,0,46,55,9,8,"112,049m","113,650m",164,181,126,131,7.1%,6.9%,45.8%,54.2%,https://www.football-lab.jp/nago/report/?year=2021&month=05&date=04
H,Ｃ大阪,W,1,0,0.703,1.645,10,10,1,6,0,0,468,435,18,14,18,14,0,0,4,3,31,17,9,21,23,18,11,26,0,1,0,0,1,2,0,0,35,36,10,9,"112,227m","116,192m",128,168,129,115,7.8%,8.7%,51%,49%,https://www.football-lab.jp/nago/report/?year=2021&month=05&date=08
H,鹿島,L,0,2,1.328,0.197,12,3,4,0,0,0,470,495,11,7,8,16,3,2,7,3,25,28,10,15,28,18,22,18,0,1,1,3,0,1,0,0,41,21,10,2,"123,757m","120,776m",228,174,138,138,8.7%,2.2%,50.4%,49.6%,https://www.football-lab.jp/nago/report/?year=2021&month=05&date=12
A,清水,W,3,0,0.908,1.037,9,12,2,5,0,0,461,531,10,8,6,11,3,2,5,2,33,20,4,12,19,28,19,22,2,1,2,3,3,0,0,0,24,44,7,8,"115,637m","118,001m",140,145,117,122,7.7%,9.8%,48%,52%,https://www.football-lab.jp/nago/report/?year=2021&month=05&date=15
A,徳島,D,0,0,0.517,1.015,10,10,2,1,0,0,505,362,6,13,13,19,2,2,5,7,11,30,7,8,18,15,28,13,1,1,2,2,2,1,0,0,31,22,4,7,"112,730m","113,027m",162,172,109,124,9.2%,8.1%,59.8%,40.2%,https://www.football-lab.jp/nago/report/?year=2021&month=05&date=22
H,仙台,L,0,1,0.443,0.989,7,18,3,4,0,0,288,635,10,27,10,15,0,1,6,3,27,41,9,18,25,13,43,24,1,3,1,0,0,1,0,0,17,59,10,26,"117,397m","116,564m",183,179,131,135,5.3%,13.3%,35.3%,64.7%,https://www.football-lab.jp/nago/report/?year=2021&month=05&date=26
A,浦和,D,0,0,0.428,1.069,5,12,0,2,0,0,529,573,4,14,11,11,0,3,1,3,16,21,8,9,13,18,11,13,4,3,3,0,0,0,0,0,24,40,6,9,"115,118m","116,472m",142,168,108,116,4.6%,10.3%,51.6%,48.4%,https://www.football-lab.jp/nago/report/?year=2021&month=05&date=30
A,鳥栖,L,1,3,0.678,0.812,11,12,4,6,0,0,545,435,14,12,6,17,1,0,2,6,33,21,9,8,15,15,23,19,0,1,0,1,1,1,0,0,53,31,16,10,"120,702m","112,173m",212,190,106,116,10.4%,10.3%,54.5%,45.5%,https://www.football-lab.jp/nago/report/?year=2021&month=07&date=17
A,横浜FC,L,0,2,1.327,0.667,11,13,2,2,0,0,259,665,8,15,8,17,0,0,3,5,25,36,7,19,19,15,31,13,1,2,0,0,2,0,0,0,16,44,11,19,"120,433m","117,470m",185,209,114,125,9.6%,10.4%,35.7%,64.3%,https://www.football-lab.jp/nago/report/?year=2021&month=08&date=09
A,横浜FM,L,0,2,1.988,0.382,13,9,4,5,1,0,583,364,18,10,14,20,6,2,4,4,28,24,15,15,15,18,14,11,3,3,2,6,3,2,1,0,46,20,11,8,"115,714m","114,504m",214,196,122,122,10.7%,7.4%,59.5%,40.5%,https://www.football-lab.jp/nago/report/?year=2021&month=08&date=12
H,湘南,W,1,0,0.832,1.357,12,11,2,5,0,0,518,461,16,11,12,16,3,1,1,5,21,13,19,7,11,21,17,18,4,2,1,3,2,1,0,0,44,27,8,11,"109,424m","108,253m",163,134,107,114,11.2%,9.6%,52.6%,47.4%,https://www.football-lab.jp/nago/report/?year=2021&month=08&date=15
H,福岡,W,1,0,0.975,0.595,9,10,3,5,0,0,339,521,13,8,13,16,2,0,3,7,28,15,10,16,23,18,16,22,3,0,0,2,2,1,0,0,25,38,4,6,"105,482m","106,850m",133,129,124,121,7.3%,8.3%,40.3%,59.7%,https://www.football-lab.jp/nago/report/?year=2021&month=08&date=22
A,札幌,W,2,0,0.984,0.651,12,8,3,4,0,0,690,325,19,10,6,14,2,0,7,0,18,18,20,16,20,26,9,30,3,3,0,1,0,1,0,0,66,16,15,5,"108,775m","111,494m",180,173,128,130,9.4%,6.2%,64%,36%,https://www.football-lab.jp/nago/report/?year=2021&month=08&date=25
H,清水,D,1,1,0.586,0.83,7,16,3,5,0,0,446,573,11,18,5,14,1,2,2,5,14,20,11,11,10,11,26,12,1,0,2,1,0,0,0,0,48,54,7,18,"111,178m","111,349m",118,129,92,104,7.6%,15.4%,46.3%,53.7%,https://www.football-lab.jp/nago/report/?year=2021&month=08&date=29
H,徳島,W,3,0,0.29,2.567,6,16,1,8,0,2,343,564,5,15,7,19,2,1,1,6,12,22,6,15,18,12,24,13,2,1,1,2,2,0,1,0,28,38,6,12,"102,452m","108,355m",128,144,91,108,6.6%,14.8%,43.3%,56.7%,https://www.football-lab.jp/nago/report/?year=2021&month=09&date=10
H,横浜FM,W,2,1,2.235,1.31,22,9,8,3,0,0,747,240,24,8,13,14,2,3,7,2,22,19,12,12,15,18,16,28,3,1,3,2,3,2,0,0,87,14,17,7,"112,605m","113,445m",170,151,131,124,16.8%,7.3%,65.5%,34.5%,https://www.football-lab.jp/nago/report/?year=2021&month=09&date=18
A,FC東京,D,1,1,1.275,1.006,18,11,6,4,0,0,402,377,11,7,15,17,1,1,9,5,18,9,14,9,14,19,13,29,4,0,1,1,1,0,1,0,49,22,11,5,"103,310m","102,124m",173,138,112,106,16.1%,10.4%,51.7%,48.3%,https://www.football-lab.jp/nago/report/?year=2021&month=09&date=22
H,大分,W,1,0,0.82,2.444,8,18,4,7,0,0,524,525,17,9,2,15,3,1,5,7,23,15,8,14,20,14,15,19,6,2,1,3,0,0,0,0,43,36,12,15,"117,812m","113,463m",163,182,101,104,7.9%,17.3%,48.5%,51.5%,https://www.football-lab.jp/nago/report/?year=2021&month=09&date=26
A,広島,L,0,1,1.041,1.423,11,13,3,1,0,0,465,535,17,10,9,17,3,2,4,2,13,31,9,10,30,16,20,17,2,1,2,2,1,0,0,0,45,35,16,8,"115,408m","113,413m",190,168,99,121,11.1%,10.7%,46.7%,53.3%,https://www.football-lab.jp/nago/report/?year=2021&month=10&date=03
H,神戸,D,2,2,2.359,1.76,18,12,8,6,1,0,538,333,14,10,9,18,1,1,9,0,23,16,14,7,19,12,18,28,1,2,0,2,3,0,0,0,43,26,12,7,"110,729m","111,154m",156,135,107,100,16.8%,12.0%,60.7%,39.3%,https://www.football-lab.jp/nago/report/?year=2021&month=10&date=24
H,柏,W,2,0,1.579,1.191,14,10,2,5,0,0,616,462,15,8,5,15,0,2,10,2,17,16,13,13,19,15,7,30,0,4,3,0,0,0,0,0,57,27,12,9,"111,289m","113,340m",151,141,105,99,13.3%,10.1%,54.5%,45.5%,https://www.football-lab.jp/nago/report/?year=2021&month=11&date=03
A,仙台,D,1,1,0.325,0.858,8,11,3,5,0,0,410,595,9,17,9,19,2,1,2,2,17,24,9,14,19,14,19,14,1,2,1,2,0,1,0,0,30,42,2,15,"119,661m","114,390m",178,185,107,119,7.5%,9.2%,41.9%,58.1%,https://www.football-lab.jp/nago/report/?year=2021&month=11&date=07
A,Ｇ大阪,W,3,1,0.968,0.753,8,8,2,4,0,0,553,477,12,16,10,18,1,1,6,3,30,16,8,11,15,24,16,29,3,4,1,1,3,0,0,0,57,26,15,10,"112,781m","106,981m",139,129,114,109,7.0%,7.3%,53.3%,46.7%,https://www.football-lab.jp/nago/report/?year=2021&month=11&date=20
A,Ｃ大阪,L,1,2,2.303,0.192,18,5,6,3,0,0,486,339,13,9,10,14,3,1,12,4,24,13,8,9,20,21,16,33,1,2,1,3,0,1,0,0,40,24,17,11,"110,056m","108,661m",157,169,126,110,14.3%,4.5%,58.7%,41.3%,https://www.football-lab.jp/nago/report/?year=2021&month=11&date=27
H,浦和,D,0,0,0.996,0.654,8,9,2,3,0,0,597,477,17,8,11,10,2,3,4,3,21,20,13,12,19,14,11,19,0,3,3,2,0,3,0,0,53,33,9,5,"120,174m","117,608m",179,176,106,111,7.5%,8.1%,56.3%,43.7%,https://www.football-lab.jp/nago/report/?year=2021&month=12&date=04
